year_month,department_name,region_name,revenue,opex,capex,profit,headcount,profit_margin,revenue_variance,tickets_resolved,sla_breaches,cycle_time,utilization,backlog
2021-01,Sales,Asia Pacific,1067529.6,661371.34,57309.96,348848.3,26.0,32.68,3.93,62,4,2.17,80.99,7.0
2021-01,Sales,Europe,1300651.95,824749.68,53718.27,422184.01,32.0,32.46,-4.45,86,2,2.06,85.14,20.0
2021-01,Sales,Latin America,758799.2,593277.84,34279.21,131242.15,21.0,17.3,1.92,47,3,2.21,90.8,9.0
2021-01,Sales,North America,1492073.34,1129552.03,65641.49,296879.82,36.0,19.9,-0.92,105,2,1.8,80.34,14.0
2021-02,Customer Support,Asia Pacific,310557.25,203721.45,29364.95,77470.85,38.0,24.95,5.56,397,21,1.21,94.71,138.0
2021-02,Customer Support,Europe,296971.14,187474.14,21384.23,88112.77,40.0,29.67,-19.9,550,28,1.25,72.08,125.0
2021-02,Customer Support,Latin America,238192.83,162904.84,17132.59,58155.4,27.0,24.42,5.76,274,18,1.1,74.96,95.0
2021-02,Customer Support,North America,338830.12,268532.93,30749.3,39547.9,50.0,11.67,0.32,594,43,1.23,81.08,219.0
2021-02,Engineering,Asia Pacific,709965.37,553567.69,111028.46,45369.21,40.0,6.39,-12.9,126,7,4.5,75.28,40.0
2021-02,Engineering,Europe,982570.7,763867.45,163885.46,54817.8,51.0,5.58,41.64,162,8,4.38,93.04,66.0
2021-02,Engineering,Latin America,644727.99,387489.46,83588.01,173650.52,35.0,26.93,14.31,85,3,5.96,89.6,22.0
2021-02,Engineering,North America,1180130.34,857506.65,165621.6,157002.09,58.0,13.3,25.99,192,14,6.46,85.93,28.0
2021-02,Finance,Asia Pacific,190170.98,117677.11,5883.77,66610.09,12.0,35.03,5.02,32,1,1.67,76.43,10.0
2021-02,Finance,Europe,229368.56,169822.96,7695.2,51850.39,16.0,22.61,16.71,41,2,1.5,78.41,8.0
2021-02,Finance,Latin America,155611.25,102284.56,4837.95,48488.74,9.0,31.16,-2.06,22,1,1.21,82.03,7.0
2021-02,Finance,North America,292397.68,228844.49,8811.73,54741.46,18.0,18.72,20.91,56,1,1.3,74.39,23.0
2021-02,HR,Asia Pacific,149964.39,109096.99,3270.53,37596.86,9.0,25.07,19.19,23,1,2.39,73.55,2.0
2021-02,HR,Europe,150585.8,109111.17,2512.19,38962.44,9.0,25.87,-11.99,31,2,2.31,85.24,6.0
2021-02,HR,Latin America,109113.76,82821.41,1982.23,24310.12,6.0,22.28,3.22,16,0,2.83,93.77,6.0
2021-02,HR,North America,216662.72,145605.61,3686.84,67370.27,12.0,31.09,7.89,38,2,2.54,80.37,12.0
2021-02,Marketing,Asia Pacific,666391.73,449169.18,53723.34,163499.21,19.0,24.53,24.31,47,3,3.15,91.05,11.0
2021-02,Marketing,Europe,564512.45,411582.9,49160.24,103769.31,21.0,18.38,-8.8,56,3,3.56,81.83,14.0
2021-02,Marketing,Latin America,525466.31,416549.75,59966.41,48950.14,13.0,9.32,30.0,35,1,3.01,90.66,7.0
2021-02,Marketing,North America,808407.68,564675.63,70986.05,172746.0,25.0,21.37,1.01,81,1,3.66,81.2,28.0
2021-02,Operations,Asia Pacific,352429.06,247992.33,48675.36,55761.38,23.0,15.82,-4.84,155,12,5.16,76.71,35.0
2021-02,Operations,Europe,464803.81,331875.61,46789.23,86138.97,25.0,18.53,17.56,185,12,3.4,76.78,69.0
2021-02,Operations,Latin America,325957.67,219010.38,35885.47,71061.82,18.0,21.8,21.85,125,5,3.4,87.69,23.0
2021-02,Operations,North America,582276.96,386273.45,60635.79,135367.72,30.0,23.25,32.07,262,17,3.91,86.06,84.0
2021-02,Product,Asia Pacific,445443.01,305917.05,85471.77,54054.19,23.0,12.13,1.45,75,3,5.67,85.72,10.0
2021-02,Product,Europe,582260.5,404574.84,97718.88,79966.78,25.0,13.73,1.83,103,4,5.64,88.28,28.0
2021-02,Product,Latin America,331717.47,223883.59,69683.49,38150.39,17.0,11.5,-14.08,62,2,4.8,73.17,17.0
2021-02,Product,North America,562552.32,350590.78,92078.68,119882.86,27.0,21.31,3.44,136,9,6.3,77.63,57.0
2021-02,Sales,Asia Pacific,1040785.0,701013.62,47151.77,292619.61,25.0,28.12,1.32,69,1,2.32,87.18,8.0
2021-02,Sales,Europe,1414348.24,1032370.38,80595.88,301381.98,31.0,21.31,3.9,77,2,1.87,75.24,27.0
2021-02,Sales,Latin America,892308.48,694581.23,46955.75,150771.5,22.0,16.9,19.85,52,2,1.96,88.91,11.0
2021-02,Sales,North America,1652400.54,1065556.87,89632.13,497211.54,34.0,30.09,9.73,110,7,2.25,75.71,20.0
2021-03,Customer Support,Asia Pacific,298808.6,216789.11,24710.89,57308.6,39.0,19.18,1.57,413,27,0.84,74.59,200.0
2021-03,Customer Support,Europe,342038.21,271530.62,27615.87,42891.71,41.0,12.54,-7.74,517,23,1.23,76.3,226.0
2021-03,Customer Support,Latin America,220137.16,173926.48,20360.14,25850.54,28.0,11.74,-2.26,274,18,0.81,86.43,115.0
2021-03,Customer Support,North America,348561.95,271260.88,28193.93,49107.13,53.0,14.09,3.2,710,48,1.26,94.46,220.0
2021-03,Engineering,Asia Pacific,797722.5,565683.66,140788.36,91250.48,44.0,11.44,-2.13,122,4,4.3,87.59,55.0
2021-03,Engineering,Europe,920697.65,725552.14,142273.98,52871.52,49.0,5.74,32.72,147,8,4.16,79.91,94.0
2021-03,Engineering,Latin America,704726.97,450432.04,87500.08,166794.85,32.0,23.67,24.95,88,6,4.06,77.59,38.0
2021-03,Engineering,North America,1128399.63,713810.8,140185.74,274403.08,62.0,24.32,20.47,211,7,5.95,85.21,68.0
2021-03,Finance,Asia Pacific,194342.32,131011.68,6559.75,56770.88,15.0,29.21,7.32,30,1,1.85,74.81,10.0
2021-03,Finance,Europe,246067.62,182397.24,6145.83,57524.55,14.0,23.38,25.21,40,1,1.58,84.07,10.0
2021-03,Finance,Latin America,169020.19,114131.21,4225.84,50663.14,11.0,29.97,6.38,26,1,1.61,78.99,7.0
2021-03,Finance,North America,278830.13,172937.29,6973.34,98919.5,19.0,35.48,15.3,50,1,1.33,89.02,23.0
2021-03,HR,Asia Pacific,162650.53,116567.36,3854.39,42228.77,8.0,25.96,29.27,24,0,2.89,86.93,2.0
2021-03,HR,Europe,166717.68,101907.96,2825.96,61983.76,9.0,37.18,-2.56,30,0,2.69,87.57,10.0
2021-03,HR,Latin America,130837.4,84353.38,3101.6,43382.42,6.0,33.16,23.77,17,0,2.84,75.4,8.0
2021-03,HR,North America,197368.76,154198.47,3333.48,39836.82,12.0,20.18,-1.72,40,2,2.25,81.3,18.0
2021-03,Marketing,Asia Pacific,606834.69,464405.43,56315.46,86113.8,19.0,14.19,13.2,44,1,2.41,73.82,11.0
2021-03,Marketing,Europe,658859.63,494259.51,72594.28,92005.84,18.0,13.96,6.44,58,3,2.83,75.9,22.0
2021-03,Marketing,Latin America,402086.14,314059.99,33635.1,54391.05,13.0,13.53,-0.52,39,1,2.62,76.02,14.0
2021-03,Marketing,North America,776823.33,586721.14,72735.63,117366.56,26.0,15.11,-2.93,77,2,3.62,90.06,35.0
2021-03,Operations,Asia Pacific,354383.99,247673.32,34999.96,71710.71,23.0,20.24,-4.32,164,3,3.58,80.19,65.0
2021-03,Operations,Europe,425731.39,312701.28,56245.07,56785.05,26.0,13.34,7.68,190,8,3.83,86.93,80.0
2021-03,Operations,Latin America,350700.34,235033.41,35637.89,80029.04,16.0,22.82,31.1,118,7,3.71,73.18,24.0
2021-03,Operations,North America,611363.7,436934.04,77232.47,97197.19,30.0,15.9,38.67,263,11,4.95,79.87,101.0
2021-03,Product,Asia Pacific,476049.15,363110.77,102245.12,10693.26,21.0,2.25,8.42,79,1,5.81,94.4,23.0
2021-03,Product,Europe,489932.74,389437.23,117043.39,-16547.88,26.0,-3.38,-14.32,102,5,7.03,82.74,36.0
2021-03,Product,Latin America,430698.11,340234.27,93916.98,-3453.14,18.0,-0.8,11.55,58,3,7.34,81.03,17.0
2021-03,Product,North America,628239.9,400580.99,123823.49,103835.43,29.0,16.53,15.51,134,8,5.83,72.7,58.0
2021-03,Sales,Asia Pacific,1258634.34,976063.88,68849.09,213721.37,29.0,16.98,22.53,63,4,2.56,73.17,13.0
2021-03,Sales,Europe,1153840.0,880257.26,52657.91,220924.83,28.0,19.15,-15.23,87,5,1.78,87.8,33.0
2021-03,Sales,Latin America,851277.97,638563.14,47787.93,164926.9,23.0,19.37,14.34,48,2,1.96,71.31,17.0
2021-03,Sales,North America,1419104.88,1045314.58,58784.68,315005.62,35.0,22.2,-5.76,101,3,2.13,90.6,22.0
2021-04,Customer Support,Asia Pacific,276025.41,183694.77,18723.46,73607.18,39.0,26.67,-6.18,427,12,1.09,76.34,219.0
2021-04,Customer Support,Europe,309819.74,202575.22,23568.95,83675.58,37.0,27.01,-16.43,502,14,0.82,89.39,283.0
2021-04,Customer Support,Latin America,247660.57,187685.66,19800.5,40174.41,26.0,16.22,9.96,274,7,0.95,72.92,169.0
2021-04,Customer Support,North America,404323.72,285623.45,27263.35,91436.92,48.0,22.61,19.71,661,28,1.02,94.52,266.0
2021-04,Engineering,Asia Pacific,919425.0,706508.04,156577.82,56339.14,46.0,6.13,12.8,110,7,5.97,76.48,70.0
2021-04,Engineering,Europe,978777.65,780531.35,126286.8,71959.5,52.0,7.35,41.09,142,9,6.1,85.44,112.0
2021-04,Engineering,Latin America,584147.05,357074.55,100405.15,126667.36,38.0,21.68,3.57,86,1,4.5,74.47,43.0
2021-04,Engineering,North America,1213913.87,938613.71,148963.16,126337.0,55.0,10.41,29.6,181,9,6.42,87.33,70.0
2021-04,Finance,Asia Pacific,181935.65,112389.02,4629.83,64916.8,13.0,35.68,0.47,32,1,1.59,74.27,14.0
2021-04,Finance,Europe,201835.74,128863.6,4943.04,68029.09,14.0,33.71,2.7,42,2,1.49,74.27,11.0
2021-04,Finance,Latin America,150307.9,105318.26,4852.65,40136.99,9.0,26.7,-5.4,26,0,1.57,94.39,8.0
2021-04,Finance,North America,242973.27,162581.54,8446.11,71945.62,18.0,29.61,0.47,54,1,1.32,80.93,27.0
2021-04,HR,Asia Pacific,145220.89,101205.11,3041.8,40973.98,9.0,28.21,15.42,26,2,2.62,93.29,5.0
2021-04,HR,Europe,156642.75,119242.77,3443.96,33956.02,9.0,21.68,-8.45,31,2,2.88,84.74,12.0
2021-04,HR,Latin America,126240.61,76670.55,2274.79,47295.27,7.0,37.46,19.42,18,0,2.26,70.09,8.0
2021-04,HR,North America,209186.01,128932.17,4808.9,75444.93,13.0,36.07,4.17,40,1,2.76,72.24,25.0
2021-04,Marketing,Asia Pacific,538438.66,324629.48,50625.89,163183.29,18.0,30.31,0.44,48,3,3.63,83.86,12.0
2021-04,Marketing,Europe,576590.76,433035.49,60433.85,83121.42,21.0,14.42,-6.85,60,4,3.09,93.52,27.0
2021-04,Marketing,Latin America,461247.02,360156.31,43325.03,57765.67,14.0,12.52,14.11,36,2,3.53,90.28,14.0
2021-04,Marketing,North America,818372.78,582834.94,94167.0,141370.84,24.0,17.27,2.26,84,4,3.52,85.49,48.0
2021-04,Operations,Asia Pacific,402019.94,267644.91,50816.62,83558.41,21.0,20.78,8.54,147,4,4.83,73.32,71.0
2021-04,Operations,Europe,504972.7,352684.68,54736.89,97551.14,25.0,19.32,27.72,204,6,3.83,77.05,101.0
2021-04,Operations,Latin America,278486.1,174223.46,28765.2,75497.44,16.0,27.11,4.1,120,6,4.73,81.18,42.0
2021-04,Operations,North America,520542.62,377090.1,71519.15,71933.37,33.0,13.82,18.07,262,15,4.86,71.23,145.0
2021-04,Product,Asia Pacific,519622.02,336426.86,87370.6,95824.56,21.0,18.44,18.34,83,3,5.61,75.17,33.0
2021-04,Product,Europe,536614.55,391290.45,110361.36,34962.74,25.0,6.52,-6.15,108,8,5.54,81.25,36.0
2021-04,Product,Latin America,351844.83,224235.42,64319.91,63289.49,16.0,17.99,-8.87,59,1,6.87,84.13,27.0
2021-04,Product,North America,689015.04,516132.83,134036.0,38846.21,28.0,5.64,26.69,126,3,5.4,84.69,59.0
2021-04,Sales,Asia Pacific,1110336.85,815364.91,58140.09,236831.85,27.0,21.33,8.1,69,3,1.73,87.41,15.0
2021-04,Sales,Europe,1241244.2,856593.58,52856.14,331794.49,33.0,26.73,-8.81,82,3,1.9,91.67,45.0
2021-04,Sales,Latin America,988518.77,695978.05,54809.78,237730.95,21.0,24.05,32.77,48,1,2.43,73.15,25.0
2021-04,Sales,North America,1851770.15,1316768.46,102550.56,432451.12,40.0,23.35,22.97,103,5,2.08,76.77,22.0
2021-05,Customer Support,Asia Pacific,301587.86,217548.29,23394.83,60644.74,39.0,20.11,2.51,395,9,0.93,89.21,288.0
2021-05,Customer Support,Europe,334001.29,246937.23,31235.79,55828.27,43.0,16.71,-9.91,486,34,0.83,86.94,299.0
2021-05,Customer Support,Latin America,258597.41,178475.63,17487.29,62634.49,31.0,24.22,14.82,288,13,1.04,91.84,212.0
2021-05,Customer Support,North America,393814.49,284448.6,25432.35,83933.53,53.0,21.31,16.6,656,23,1.0,79.69,303.0
2021-05,Engineering,Asia Pacific,708611.6,519928.63,124547.39,64135.58,47.0,9.05,-13.07,133,5,6.41,92.54,77.0
2021-05,Engineering,Europe,846830.0,672293.33,145595.84,28940.83,55.0,3.42,22.07,151,11,4.35,86.07,123.0
2021-05,Engineering,Latin America,571155.84,430593.58,74948.57,65613.69,35.0,11.49,1.26,97,7,4.63,80.92,53.0
2021-05,Engineering,North America,916305.19,645905.62,132519.55,137880.03,68.0,15.05,-2.18,183,12,5.68,72.88,95.0
2021-05,Finance,Asia Pacific,181728.91,136076.65,4434.62,41217.63,14.0,22.68,0.36,32,2,1.64,86.85,19.0
2021-05,Finance,Europe,220592.37,171792.6,7381.72,41418.05,14.0,18.78,12.25,43,2,1.44,73.41,18.0
2021-05,Finance,Latin America,170159.98,113737.71,5760.78,50661.49,10.0,29.77,7.1,25,1,1.59,90.08,9.0
2021-05,Finance,North America,272120.92,181499.52,6985.69,83635.71,19.0,30.73,12.53,54,3,1.88,70.45,33.0
2021-05,HR,Asia Pacific,136443.07,91299.4,2381.31,42762.35,10.0,31.34,8.44,25,1,2.21,92.44,8.0
2021-05,HR,Europe,174721.49,129994.07,3691.72,41035.7,10.0,23.49,2.12,30,1,2.85,71.68,15.0
2021-05,HR,Latin America,111249.49,77029.27,2623.07,31597.14,6.0,28.4,5.24,19,0,2.68,92.98,11.0
2021-05,HR,North America,174593.75,118629.03,3907.12,52057.6,11.0,29.82,-13.06,38,0,3.14,72.28,29.0
2021-05,Marketing,Asia Pacific,512991.46,383832.59,52827.31,76331.56,19.0,14.88,-4.3,45,1,3.04,77.73,14.0
2021-05,Marketing,Europe,746605.69,466523.62,81555.25,198526.83,22.0,26.59,20.61,66,2,3.87,94.86,34.0
2021-05,Marketing,Latin America,499266.42,319693.0,43209.63,136363.79,13.0,27.31,23.52,40,1,3.5,70.01,18.0
2021-05,Marketing,North America,779535.62,531930.3,73241.06,174364.26,27.0,22.37,-2.59,75,2,3.62,73.38,55.0
2021-05,Operations,Asia Pacific,422322.06,295855.22,45250.21,81216.63,25.0,19.23,14.03,161,11,4.1,80.61,76.0
2021-05,Operations,Europe,478287.19,328978.83,54569.38,94738.98,25.0,19.81,20.97,211,8,3.7,93.9,139.0
2021-05,Operations,Latin America,309755.02,242009.87,39017.8,28727.35,16.0,9.27,15.79,120,6,3.25,81.1,60.0
2021-05,Operations,North America,550136.93,387633.68,62288.63,100214.62,33.0,18.22,24.78,287,10,3.57,86.29,185.0
2021-05,Product,Asia Pacific,466854.45,317290.03,94767.55,54796.86,25.0,11.74,6.33,81,4,6.06,87.85,46.0
2021-05,Product,Europe,529456.64,323472.77,98910.86,107073.02,27.0,20.22,-7.4,110,7,6.43,83.24,43.0
2021-05,Product,Latin America,364651.65,272577.2,71536.43,20538.03,17.0,5.63,-5.55,56,2,6.02,87.19,29.0
2021-05,Product,North America,581423.7,455934.08,133490.06,-8000.44,31.0,-1.38,6.91,132,7,7.34,70.24,69.0
2021-05,Sales,Asia Pacific,1121549.29,703080.11,46283.53,372185.64,30.0,33.18,9.19,67,5,1.6,76.2,27.0
2021-05,Sales,Europe,1342336.37,846843.16,66610.49,428882.72,31.0,31.95,-1.39,76,5,2.3,72.13,54.0
2021-05,Sales,Latin America,1002552.49,652589.62,53766.94,296195.93,22.0,29.54,34.66,53,3,2.37,72.29,30.0
2021-05,Sales,North America,1576070.15,1022053.04,66662.62,487354.49,38.0,30.92,4.66,101,2,1.82,77.05,30.0
2021-06,Customer Support,Asia Pacific,261841.94,177491.95,19176.83,65173.16,36.0,24.89,-11.0,376,20,1.1,80.47,320.0
2021-06,Customer Support,Europe,272188.28,172365.05,23848.34,75974.9,38.0,27.91,-26.58,507,21,1.29,79.78,307.0
2021-06,Customer Support,Latin America,207079.6,147705.93,16407.66,42966.01,30.0,20.75,-8.06,280,14,1.05,73.74,217.0
2021-06,Customer Support,North America,341187.1,267109.37,26408.11,47669.62,49.0,13.97,1.02,647,23,0.89,88.58,335.0
2021-06,Engineering,Asia Pacific,682978.56,541065.22,88049.43,53863.9,46.0,7.89,-16.21,111,3,6.49,74.5,88.0
2021-06,Engineering,Europe,805323.26,576706.22,127189.42,101427.62,47.0,12.59,16.09,141,4,6.38,93.96,125.0
2021-06,Engineering,Latin America,675648.62,473250.64,105214.1,97183.88,33.0,14.38,19.79,98,2,5.51,76.93,69.0
2021-06,Engineering,North America,899395.16,571365.42,134821.19,193208.55,61.0,21.48,-3.98,205,14,5.05,92.78,135.0
2021-06,Finance,Asia Pacific,211371.11,160635.93,6151.44,44583.74,12.0,21.09,16.73,32,1,1.9,90.71,21.0
2021-06,Finance,Europe,238252.56,179337.74,6118.65,52796.17,16.0,22.16,21.23,36,1,1.65,94.07,22.0
2021-06,Finance,Latin America,148836.07,108158.52,4032.66,36644.88,10.0,24.62,-6.32,23,0,1.58,88.6,11.0
2021-06,Finance,North America,261385.66,178234.26,8004.82,75146.57,18.0,28.75,8.09,50,1,1.52,86.46,35.0
2021-06,HR,Asia Pacific,148189.15,113505.24,2615.74,32068.17,8.0,21.64,17.78,26,1,2.39,88.84,9.0
2021-06,HR,Europe,177075.62,110415.54,3649.91,63010.17,10.0,35.58,3.49,30,2,3.06,83.14,19.0
2021-06,HR,Latin America,123480.62,95670.07,2565.84,25244.71,7.0,20.44,16.81,18,1,2.91,80.1,11.0
2021-06,HR,North America,216465.6,152638.13,3760.75,60066.72,12.0,27.75,7.79,36,2,3.01,77.24,33.0
2021-06,Marketing,Asia Pacific,485302.76,301286.49,54352.28,129663.99,17.0,26.72,-9.47,45,3,3.05,80.3,14.0
2021-06,Marketing,Europe,660036.63,399598.84,58663.32,201774.46,19.0,30.57,6.63,62,2,3.07,83.43,36.0
2021-06,Marketing,Latin America,406361.58,251898.78,36461.56,118001.24,15.0,29.04,0.53,36,1,3.24,87.68,19.0
2021-06,Marketing,North America,788659.1,537665.84,63893.57,187099.68,23.0,23.72,-1.45,83,2,2.7,80.32,58.0
2021-06,Operations,Asia Pacific,341874.78,244990.31,39735.55,57148.92,25.0,16.72,-7.69,165,4,3.22,90.2,81.0
2021-06,Operations,Europe,469938.31,283185.01,47042.9,139710.41,24.0,29.73,18.86,193,4,3.85,73.59,166.0
2021-06,Operations,Latin America,280048.29,182559.19,31988.58,65500.52,18.0,23.39,4.69,125,5,4.37,77.89,62.0
2021-06,Operations,North America,553929.24,376359.86,70940.66,106628.72,29.0,19.25,25.64,253,17,5.09,73.4,210.0
2021-06,Product,Asia Pacific,416735.3,256303.69,90954.61,69477.0,23.0,16.67,-5.09,77,3,4.86,86.78,54.0
2021-06,Product,Europe,454349.57,317714.5,94389.95,42245.11,25.0,9.3,-20.54,95,7,7.36,75.76,49.0
2021-06,Product,Latin America,360314.71,233945.28,81261.12,45108.31,19.0,12.52,-6.68,66,1,7.21,89.8,30.0
2021-06,Product,North America,673956.13,433345.75,109514.27,131096.11,30.0,19.45,23.92,123,3,6.63,74.91,75.0
2021-06,Sales,Asia Pacific,1142297.57,786074.98,54847.72,301374.87,28.0,26.38,11.21,66,3,2.43,80.63,30.0
2021-06,Sales,Europe,1249441.31,890811.95,51619.63,307009.72,33.0,24.57,-8.21,80,2,2.41,90.01,61.0
2021-06,Sales,Latin America,797838.18,616216.0,47010.47,134611.71,21.0,16.87,7.16,46,2,2.05,81.0,30.0
2021-06,Sales,North America,1380413.18,1076185.1,60880.08,243348.0,35.0,17.63,-8.33,101,6,2.27,75.54,30.0
2021-07,Customer Support,Asia Pacific,301427.66,229658.71,25611.63,46157.33,38.0,15.31,2.46,376,28,0.98,92.81,378.0
2021-07,Customer Support,Europe,336309.28,219650.32,22917.62,93741.34,45.0,27.87,-9.29,514,10,0.87,78.05,366.0
2021-07,Customer Support,Latin America,205662.18,138726.89,14871.87,52063.42,31.0,25.32,-8.69,324,18,1.11,85.95,257.0
2021-07,Customer Support,North America,332483.51,235197.13,27587.51,69698.86,51.0,20.96,-1.56,644,16,0.94,90.79,461.0
2021-07,Engineering,Asia Pacific,806160.19,601754.23,135752.27,68653.69,49.0,8.52,-1.1,130,5,4.36,91.45,96.0
2021-07,Engineering,Europe,717826.33,567116.87,105348.44,45361.01,49.0,6.32,3.48,151,11,4.32,94.34,131.0
2021-07,Engineering,Latin America,622995.52,404905.72,93054.04,125035.76,35.0,20.07,10.46,95,5,5.18,82.4,82.0
2021-07,Engineering,North America,900638.44,646699.95,127583.03,126355.46,58.0,14.03,-3.85,196,5,4.64,76.58,156.0
2021-07,Finance,Asia Pacific,176778.21,137148.72,6246.77,33382.72,14.0,18.88,-2.38,33,1,1.58,90.43,26.0
2021-07,Finance,Europe,212254.29,136617.64,7513.7,68122.95,16.0,32.09,8.0,42,2,1.29,75.36,22.0
2021-07,Finance,Latin America,126897.53,101293.89,3398.32,22205.32,12.0,17.5,-20.13,25,0,1.72,80.45,13.0
2021-07,Finance,North America,208479.92,125833.23,7474.56,75172.14,18.0,36.06,-13.79,52,1,1.89,81.76,35.0
2021-07,HR,Asia Pacific,151597.13,119087.2,3632.16,28877.78,8.0,19.05,20.49,24,0,2.73,81.07,9.0
2021-07,HR,Europe,136840.95,103440.39,2572.75,30827.82,9.0,22.53,-20.02,27,2,2.14,72.37,20.0
2021-07,HR,Latin America,113926.45,84214.9,1963.09,27748.46,7.0,24.36,7.77,17,1,2.86,88.12,13.0
2021-07,HR,North America,187118.51,131457.81,3339.2,52321.51,11.0,27.96,-6.82,41,1,3.15,73.35,38.0
2021-07,Marketing,Asia Pacific,514212.37,372895.64,59360.22,81956.51,19.0,15.94,-4.08,50,2,2.53,94.82,15.0
2021-07,Marketing,Europe,644941.23,395394.93,59729.05,189817.24,21.0,29.43,4.19,59,3,3.46,84.65,40.0
2021-07,Marketing,Latin America,362595.02,280655.72,29316.09,52623.22,15.0,14.51,-10.29,33,2,2.85,86.26,21.0
2021-07,Marketing,North America,666313.68,415855.28,55356.09,195102.31,26.0,29.28,-16.74,72,1,2.7,80.05,70.0
2021-07,Operations,Asia Pacific,391696.34,267745.35,45524.96,78426.03,24.0,20.02,5.76,178,4,4.35,91.34,89.0
2021-07,Operations,Europe,390949.33,272091.01,49306.63,69551.69,28.0,17.79,-1.12,206,15,3.28,82.58,190.0
2021-07,Operations,Latin America,249010.78,167067.42,27338.26,54605.1,17.0,21.93,-6.91,132,2,4.66,93.33,79.0
2021-07,Operations,North America,547028.33,415608.41,78717.83,52702.09,30.0,9.63,24.08,261,9,3.89,80.27,247.0
2021-07,Product,Asia Pacific,477350.41,340420.72,86573.35,50356.34,25.0,10.55,8.72,81,4,6.38,70.96,63.0
2021-07,Product,Europe,502766.88,349984.73,104270.14,48512.01,28.0,9.65,-12.07,97,2,6.25,82.85,65.0
2021-07,Product,Latin America,369203.9,284329.96,84689.3,184.65,19.0,0.05,-4.38,65,1,6.58,84.84,32.0
2021-07,Product,North America,528260.44,340219.08,113396.76,74644.6,29.0,14.13,-2.87,135,10,7.0,89.42,98.0
