date,date_key,department_id,region_id,tickets_resolved,sla_breaches,cycle_time,utilization,backlog,year,quarter,month,month_name,year_month,department_name,region_name,sla_breach_rate,tickets_per_headcount
2021-03-01,20210301,2,3,63,4,2.56,73.17,13,2021,Q1,3,March,2021-03,Sales,Asia Pacific,6.35,2.1
2021-03-01,20210301,2,4,48,2,1.96,71.31,17,2021,Q1,3,March,2021-03,Sales,Latin America,4.17,1.6
2021-03-01,20210301,3,1,77,2,3.62,90.06,35,2021,Q1,3,March,2021-03,Marketing,North America,2.6,2.57
2021-03-01,20210301,3,2,58,3,2.83,75.9,22,2021,Q1,3,March,2021-03,Marketing,Europe,5.17,1.93
2021-03-01,20210301,3,3,44,1,2.41,73.82,11,2021,Q1,3,March,2021-03,Marketing,Asia Pacific,2.27,1.47
2021-03-01,20210301,3,4,39,1,2.62,76.02,14,2021,Q1,3,March,2021-03,Marketing,Latin America,2.56,1.3
2021-03-01,20210301,4,1,263,11,4.95,79.87,101,2021,Q1,3,March,2021-03,Operations,North America,4.18,8.77
2021-03-01,20210301,4,2,190,8,3.83,86.93,80,2021,Q1,3,March,2021-03,Operations,Europe,4.21,6.33
2021-03-01,20210301,4,3,164,3,3.58,80.19,65,2021,Q1,3,March,2021-03,Operations,Asia Pacific,1.83,5.47
2021-03-01,20210301,4,4,118,7,3.71,73.18,24,2021,Q1,3,March,2021-03,Operations,Latin America,5.93,3.93
2021-03-01,20210301,5,1,50,1,1.33,89.02,23,2021,Q1,3,March,2021-03,Finance,North America,2.0,1.67
2021-03-01,20210301,5,2,40,1,1.58,84.07,10,2021,Q1,3,March,2021-03,Finance,Europe,2.5,1.33
2021-03-01,20210301,5,3,30,1,1.85,74.81,10,2021,Q1,3,March,2021-03,Finance,Asia Pacific,3.33,1.0
2021-03-01,20210301,5,4,26,1,1.61,78.99,7,2021,Q1,3,March,2021-03,Finance,Latin America,3.85,0.87
2021-03-01,20210301,6,1,40,2,2.25,81.3,18,2021,Q1,3,March,2021-03,HR,North America,5.0,1.33
2021-03-01,20210301,6,2,30,0,2.69,87.57,10,2021,Q1,3,March,2021-03,HR,Europe,0.0,1.0
2021-03-01,20210301,6,3,24,0,2.89,86.93,2,2021,Q1,3,March,2021-03,HR,Asia Pacific,0.0,0.8
2021-03-01,20210301,6,4,17,0,2.84,75.4,8,2021,Q1,3,March,2021-03,HR,Latin America,0.0,0.57
2021-03-01,20210301,7,1,710,48,1.26,94.46,220,2021,Q1,3,March,2021-03,Customer Support,North America,6.76,23.67
2021-03-01,20210301,7,2,517,23,1.23,76.3,226,2021,Q1,3,March,2021-03,Customer Support,Europe,4.45,17.23
2021-03-01,20210301,7,3,413,27,0.84,74.59,200,2021,Q1,3,March,2021-03,Customer Support,Asia Pacific,6.54,13.77
2021-03-01,20210301,7,4,274,18,0.81,86.43,115,2021,Q1,3,March,2021-03,Customer Support,Latin America,6.57,9.13
2021-03-01,20210301,8,1,134,8,5.83,72.7,58,2021,Q1,3,March,2021-03,Product,North America,5.97,4.47
2021-03-01,20210301,8,2,102,5,7.03,82.74,36,2021,Q1,3,March,2021-03,Product,Europe,4.9,3.4
2021-03-01,20210301,8,3,79,1,5.81,94.4,23,2021,Q1,3,March,2021-03,Product,Asia Pacific,1.27,2.63
2021-03-01,20210301,8,4,58,3,7.34,81.03,17,2021,Q1,3,March,2021-03,Product,Latin America,5.17,1.93
2021-04-01,20210401,1,1,181,9,6.42,87.33,70,2021,Q2,4,April,2021-04,Engineering,North America,4.97,6.03
2021-04-01,20210401,1,2,142,9,6.1,85.44,112,2021,Q2,4,April,2021-04,Engineering,Europe,6.34,4.73
2021-04-01,20210401,1,3,110,7,5.97,76.48,70,2021,Q2,4,April,2021-04,Engineering,Asia Pacific,6.36,3.67
2021-04-01,20210401,1,4,86,1,4.5,74.47,43,2021,Q2,4,April,2021-04,Engineering,Latin America,1.16,2.87
2021-04-01,20210401,2,1,103,5,2.08,76.77,22,2021,Q2,4,April,2021-04,Sales,North America,4.85,3.43
2021-04-01,20210401,2,2,82,3,1.9,91.67,45,2021,Q2,4,April,2021-04,Sales,Europe,3.66,2.73
2021-04-01,20210401,2,3,69,3,1.73,87.41,15,2021,Q2,4,April,2021-04,Sales,Asia Pacific,4.35,2.3
2021-04-01,20210401,2,4,48,1,2.43,73.15,25,2021,Q2,4,April,2021-04,Sales,Latin America,2.08,1.6
2021-04-01,20210401,3,1,84,4,3.52,85.49,48,2021,Q2,4,April,2021-04,Marketing,North America,4.76,2.8
2021-04-01,20210401,3,2,60,4,3.09,93.52,27,2021,Q2,4,April,2021-04,Marketing,Europe,6.67,2.0
2021-04-01,20210401,3,3,48,3,3.63,83.86,12,2021,Q2,4,April,2021-04,Marketing,Asia Pacific,6.25,1.6
2021-04-01,20210401,3,4,36,2,3.53,90.28,14,2021,Q2,4,April,2021-04,Marketing,Latin America,5.56,1.2
2021-04-01,20210401,4,1,262,15,4.86,71.23,145,2021,Q2,4,April,2021-04,Operations,North America,5.73,8.73
2021-04-01,20210401,4,2,204,6,3.83,77.05,101,2021,Q2,4,April,2021-04,Operations,Europe,2.94,6.8
2021-04-01,20210401,4,3,147,4,4.83,73.32,71,2021,Q2,4,April,2021-04,Operations,Asia Pacific,2.72,4.9
2021-04-01,20210401,4,4,120,6,4.73,81.18,42,2021,Q2,4,April,2021-04,Operations,Latin America,5.0,4.0
2021-04-01,20210401,5,1,54,1,1.32,80.93,27,2021,Q2,4,April,2021-04,Finance,North America,1.85,1.8
2021-04-01,20210401,5,2,42,2,1.49,74.27,11,2021,Q2,4,April,2021-04,Finance,Europe,4.76,1.4
2021-04-01,20210401,5,3,32,1,1.59,74.27,14,2021,Q2,4,April,2021-04,Finance,Asia Pacific,3.12,1.07
2021-04-01,20210401,5,4,26,0,1.57,94.39,8,2021,Q2,4,April,2021-04,Finance,Latin America,0.0,0.87
2021-04-01,20210401,6,1,40,1,2.76,72.24,25,2021,Q2,4,April,2021-04,HR,North America,2.5,1.33
2021-04-01,20210401,6,2,31,2,2.88,84.74,12,2021,Q2,4,April,2021-04,HR,Europe,6.45,1.03
2021-04-01,20210401,6,3,26,2,2.62,93.29,5,2021,Q2,4,April,2021-04,HR,Asia Pacific,7.69,0.87
2021-04-01,20210401,6,4,18,0,2.26,70.09,8,2021,Q2,4,April,2021-04,HR,Latin America,0.0,0.6
2021-04-01,20210401,7,1,661,28,1.02,94.52,266,2021,Q2,4,April,2021-04,Customer Support,North America,4.24,22.03
2021-04-01,20210401,7,2,502,14,0.82,89.39,283,2021,Q2,4,April,2021-04,Customer Support,Europe,2.79,16.73
2021-04-01,20210401,7,3,427,12,1.09,76.34,219,2021,Q2,4,April,2021-04,Customer Support,Asia Pacific,2.81,14.23
2021-04-01,20210401,7,4,274,7,0.95,72.92,169,2021,Q2,4,April,2021-04,Customer Support,Latin America,2.55,9.13
2021-04-01,20210401,8,1,126,3,5.4,84.69,59,2021,Q2,4,April,2021-04,Product,North America,2.38,4.2
2021-04-01,20210401,8,2,108,8,5.54,81.25,36,2021,Q2,4,April,2021-04,Product,Europe,7.41,3.6
2021-04-01,20210401,8,3,83,3,5.61,75.17,33,2021,Q2,4,April,2021-04,Product,Asia Pacific,3.61,2.77
2021-04-01,20210401,8,4,59,1,6.87,84.13,27,2021,Q2,4,April,2021-04,Product,Latin America,1.69,1.97
2021-05-01,20210501,1,1,183,12,5.68,72.88,95,2021,Q2,5,May,2021-05,Engineering,North America,6.56,6.1
2021-05-01,20210501,1,2,151,11,4.35,86.07,123,2021,Q2,5,May,2021-05,Engineering,Europe,7.28,5.03
2021-05-01,20210501,1,3,133,5,6.41,92.54,77,2021,Q2,5,May,2021-05,Engineering,Asia Pacific,3.76,4.43
2021-05-01,20210501,1,4,97,7,4.63,80.92,53,2021,Q2,5,May,2021-05,Engineering,Latin America,7.22,3.23
2021-05-01,20210501,2,1,101,2,1.82,77.05,30,2021,Q2,5,May,2021-05,Sales,North America,1.98,3.37
2021-05-01,20210501,2,2,76,5,2.3,72.13,54,2021,Q2,5,May,2021-05,Sales,Europe,6.58,2.53
2021-05-01,20210501,2,3,67,5,1.6,76.2,27,2021,Q2,5,May,2021-05,Sales,Asia Pacific,7.46,2.23
2021-05-01,20210501,2,4,53,3,2.37,72.29,30,2021,Q2,5,May,2021-05,Sales,Latin America,5.66,1.77
2021-05-01,20210501,3,1,75,2,3.62,73.38,55,2021,Q2,5,May,2021-05,Marketing,North America,2.67,2.5
2021-05-01,20210501,3,2,66,2,3.87,94.86,34,2021,Q2,5,May,2021-05,Marketing,Europe,3.03,2.2
2021-05-01,20210501,3,3,45,1,3.04,77.73,14,2021,Q2,5,May,2021-05,Marketing,Asia Pacific,2.22,1.5
2021-05-01,20210501,3,4,40,1,3.5,70.01,18,2021,Q2,5,May,2021-05,Marketing,Latin America,2.5,1.33
2021-05-01,20210501,4,1,287,10,3.57,86.29,185,2021,Q2,5,May,2021-05,Operations,North America,3.48,9.57
2021-05-01,20210501,4,2,211,8,3.7,93.9,139,2021,Q2,5,May,2021-05,Operations,Europe,3.79,7.03
2021-05-01,20210501,4,3,161,11,4.1,80.61,76,2021,Q2,5,May,2021-05,Operations,Asia Pacific,6.83,5.37
2021-05-01,20210501,4,4,120,6,3.25,81.1,60,2021,Q2,5,May,2021-05,Operations,Latin America,5.0,4.0
2021-05-01,20210501,5,1,54,3,1.88,70.45,33,2021,Q2,5,May,2021-05,Finance,North America,5.56,1.8
2021-05-01,20210501,5,2,43,2,1.44,73.41,18,2021,Q2,5,May,2021-05,Finance,Europe,4.65,1.43
2021-05-01,20210501,5,3,32,2,1.64,86.85,19,2021,Q2,5,May,2021-05,Finance,Asia Pacific,6.25,1.07
2021-05-01,20210501,5,4,25,1,1.59,90.08,9,2021,Q2,5,May,2021-05,Finance,Latin America,4.0,0.83
2021-05-01,20210501,6,1,38,0,3.14,72.28,29,2021,Q2,5,May,2021-05,HR,North America,0.0,1.27
2021-05-01,20210501,6,2,30,1,2.85,71.68,15,2021,Q2,5,May,2021-05,HR,Europe,3.33,1.0
2021-05-01,20210501,6,3,25,1,2.21,92.44,8,2021,Q2,5,May,2021-05,HR,Asia Pacific,4.0,0.83
2021-05-01,20210501,6,4,19,0,2.68,92.98,11,2021,Q2,5,May,2021-05,HR,Latin America,0.0,0.63
2021-05-01,20210501,7,1,656,23,1.0,79.69,303,2021,Q2,5,May,2021-05,Customer Support,North America,3.51,21.87
2021-05-01,20210501,7,2,486,34,0.83,86.94,299,2021,Q2,5,May,2021-05,Customer Support,Europe,7.0,16.2
2021-05-01,20210501,7,3,395,9,0.93,89.21,288,2021,Q2,5,May,2021-05,Customer Support,Asia Pacific,2.28,13.17
2021-05-01,20210501,7,4,288,13,1.04,91.84,212,2021,Q2,5,May,2021-05,Customer Support,Latin America,4.51,9.6
2021-05-01,20210501,8,1,132,7,7.34,70.24,69,2021,Q2,5,May,2021-05,Product,North America,5.3,4.4
2021-05-01,20210501,8,2,110,7,6.43,83.24,43,2021,Q2,5,May,2021-05,Product,Europe,6.36,3.67
2021-05-01,20210501,8,3,81,4,6.06,87.85,46,2021,Q2,5,May,2021-05,Product,Asia Pacific,4.94,2.7
2021-05-01,20210501,8,4,56,2,6.02,87.19,29,2021,Q2,5,May,2021-05,Product,Latin America,3.57,1.87
2021-06-01,20210601,1,1,205,14,5.05,92.78,135,2021,Q2,6,June,2021-06,Engineering,North America,6.83,6.83
2021-06-01,20210601,1,2,141,4,6.38,93.96,125,2021,Q2,6,June,2021-06,Engineering,Europe,2.84,4.7
2021-06-01,20210601,1,3,111,3,6.49,74.5,88,2021,Q2,6,June,2021-06,Engineering,Asia Pacific,2.7,3.7
2021-06-01,20210601,1,4,98,2,5.51,76.93,69,2021,Q2,6,June,2021-06,Engineering,Latin America,2.04,3.27
2021-06-01,20210601,2,1,101,6,2.27,75.54,30,2021,Q2,6,June,2021-06,Sales,North America,5.94,3.37
2021-06-01,20210601,2,2,80,2,2.41,90.01,61,2021,Q2,6,June,2021-06,Sales,Europe,2.5,2.67
2021-06-01,20210601,2,3,66,3,2.43,80.63,30,2021,Q2,6,June,2021-06,Sales,Asia Pacific,4.55,2.2
2021-06-01,20210601,2,4,46,2,2.05,81.0,30,2021,Q2,6,June,2021-06,Sales,Latin America,4.35,1.53
2021-06-01,20210601,3,1,83,2,2.7,80.32,58,2021,Q2,6,June,2021-06,Marketing,North America,2.41,2.77
2021-06-01,20210601,3,2,62,2,3.07,83.43,36,2021,Q2,6,June,2021-06,Marketing,Europe,3.23,2.07
2021-06-01,20210601,3,3,45,3,3.05,80.3,14,2021,Q2,6,June,2021-06,Marketing,Asia Pacific,6.67,1.5
2021-06-01,20210601,3,4,36,1,3.24,87.68,19,2021,Q2,6,June,2021-06,Marketing,Latin America,2.78,1.2
2021-06-01,20210601,4,1,253,17,5.09,73.4,210,2021,Q2,6,June,2021-06,Operations,North America,6.72,8.43
2021-06-01,20210601,4,2,193,4,3.85,73.59,166,2021,Q2,6,June,2021-06,Operations,Europe,2.07,6.43
2021-06-01,20210601,4,3,165,4,3.22,90.2,81,2021,Q2,6,June,2021-06,Operations,Asia Pacific,2.42,5.5
2021-06-01,20210601,4,4,125,5,4.37,77.89,62,2021,Q2,6,June,2021-06,Operations,Latin America,4.0,4.17
2021-06-01,20210601,5,1,50,1,1.52,86.46,35,2021,Q2,6,June,2021-06,Finance,North America,2.0,1.67
2021-06-01,20210601,5,2,36,1,1.65,94.07,22,2021,Q2,6,June,2021-06,Finance,Europe,2.78,1.2
2021-06-01,20210601,5,3,32,1,1.9,90.71,21,2021,Q2,6,June,2021-06,Finance,Asia Pacific,3.12,1.07
2021-06-01,20210601,5,4,23,0,1.58,88.6,11,2021,Q2,6,June,2021-06,Finance,Latin America,0.0,0.77
2021-06-01,20210601,6,1,36,2,3.01,77.24,33,2021,Q2,6,June,2021-06,HR,North America,5.56,1.2
2021-06-01,20210601,6,2,30,2,3.06,83.14,19,2021,Q2,6,June,2021-06,HR,Europe,6.67,1.0
2021-06-01,20210601,6,3,26,1,2.39,88.84,9,2021,Q2,6,June,2021-06,HR,Asia Pacific,3.85,0.87
2021-06-01,20210601,6,4,18,1,2.91,80.1,11,2021,Q2,6,June,2021-06,HR,Latin America,5.56,0.6
2021-06-01,20210601,7,1,647,23,0.89,88.58,335,2021,Q2,6,June,2021-06,Customer Support,North America,3.55,21.57
2021-06-01,20210601,7,2,507,21,1.29,79.78,307,2021,Q2,6,June,2021-06,Customer Support,Europe,4.14,16.9
2021-06-01,20210601,7,3,376,20,1.1,80.47,320,2021,Q2,6,June,2021-06,Customer Support,Asia Pacific,5.32,12.53
2021-06-01,20210601,7,4,280,14,1.05,73.74,217,2021,Q2,6,June,2021-06,Customer Support,Latin America,5.0,9.33
2021-06-01,20210601,8,1,123,3,6.63,74.91,75,2021,Q2,6,June,2021-06,Product,North America,2.44,4.1
2021-06-01,20210601,8,2,95,7,7.36,75.76,49,2021,Q2,6,June,2021-06,Product,Europe,7.37,3.17
2021-06-01,20210601,8,3,77,3,4.86,86.78,54,2021,Q2,6,June,2021-06,Product,Asia Pacific,3.9,2.57
2021-06-01,20210601,8,4,66,1,7.21,89.8,30,2021,Q2,6,June,2021-06,Product,Latin America,1.52,2.2
2021-07-01,20210701,1,1,196,5,4.64,76.58,156,2021,Q3,7,July,2021-07,Engineering,North America,2.55,6.53
2021-07-01,20210701,1,2,151,11,4.32,94.34,131,2021,Q3,7,July,2021-07,Engineering,Europe,7.28,5.03
2021-07-01,20210701,1,3,130,5,4.36,91.45,96,2021,Q3,7,July,2021-07,Engineering,Asia Pacific,3.85,4.33
2021-07-01,20210701,1,4,95,5,5.18,82.4,82,2021,Q3,7,July,2021-07,Engineering,Latin America,5.26,3.17
2021-07-01,20210701,2,1,98,5,2.5,71.44,32,2021,Q3,7,July,2021-07,Sales,North America,5.1,3.27
2021-07-01,20210701,2,2,85,3,2.0,73.42,69,2021,Q3,7,July,2021-07,Sales,Europe,3.53,2.83
2021-07-01,20210701,2,3,60,2,2.36,76.46,35,2021,Q3,7,July,2021-07,Sales,Asia Pacific,3.33,2.0
2021-07-01,20210701,2,4,54,3,2.44,80.37,38,2021,Q3,7,July,2021-07,Sales,Latin America,5.56,1.8
2021-07-01,20210701,3,1,72,1,2.7,80.05,70,2021,Q3,7,July,2021-07,Marketing,North America,1.39,2.4
2021-07-01,20210701,3,2,59,3,3.46,84.65,40,2021,Q3,7,July,2021-07,Marketing,Europe,5.08,1.97
2021-07-01,20210701,3,3,50,2,2.53,94.82,15,2021,Q3,7,July,2021-07,Marketing,Asia Pacific,4.0,1.67
2021-07-01,20210701,3,4,33,2,2.85,86.26,21,2021,Q3,7,July,2021-07,Marketing,Latin America,6.06,1.1
2021-07-01,20210701,4,1,261,9,3.89,80.27,247,2021,Q3,7,July,2021-07,Operations,North America,3.45,8.7
2021-07-01,20210701,4,2,206,15,3.28,82.58,190,2021,Q3,7,July,2021-07,Operations,Europe,7.28,6.87
2021-07-01,20210701,4,3,178,4,4.35,91.34,89,2021,Q3,7,July,2021-07,Operations,Asia Pacific,2.25,5.93
2021-07-01,20210701,4,4,132,2,4.66,93.33,79,2021,Q3,7,July,2021-07,Operations,Latin America,1.52,4.4
2021-07-01,20210701,5,1,52,1,1.89,81.76,35,2021,Q3,7,July,2021-07,Finance,North America,1.92,1.73
2021-07-01,20210701,5,2,42,2,1.29,75.36,22,2021,Q3,7,July,2021-07,Finance,Europe,4.76,1.4
2021-07-01,20210701,5,3,33,1,1.58,90.43,26,2021,Q3,7,July,2021-07,Finance,Asia Pacific,3.03,1.1
2021-07-01,20210701,5,4,25,0,1.72,80.45,13,2021,Q3,7,July,2021-07,Finance,Latin America,0.0,0.83
2021-07-01,20210701,6,1,41,1,3.15,73.35,38,2021,Q3,7,July,2021-07,HR,North America,2.44,1.37
2021-07-01,20210701,6,2,27,2,2.14,72.37,20,2021,Q3,7,July,2021-07,HR,Europe,7.41,0.9
2021-07-01,20210701,6,3,24,0,2.73,81.07,9,2021,Q3,7,July,2021-07,HR,Asia Pacific,0.0,0.8
2021-07-01,20210701,6,4,17,1,2.86,88.12,13,2021,Q3,7,July,2021-07,HR,Latin America,5.88,0.57
2021-07-01,20210701,7,1,644,16,0.94,90.79,461,2021,Q3,7,July,2021-07,Customer Support,North America,2.48,21.47
2021-07-01,20210701,7,2,514,10,0.87,78.05,366,2021,Q3,7,July,2021-07,Customer Support,Europe,1.95,17.13
2021-07-01,20210701,7,3,376,28,0.98,92.81,378,2021,Q3,7,July,2021-07,Customer Support,Asia Pacific,7.45,12.53
2021-07-01,20210701,7,4,324,18,1.11,85.95,257,2021,Q3,7,July,2021-07,Customer Support,Latin America,5.56,10.8
2021-07-01,20210701,8,1,135,10,7.0,89.42,98,2021,Q3,7,July,2021-07,Product,North America,7.41,4.5
2021-07-01,20210701,8,2,97,2,6.25,82.85,65,2021,Q3,7,July,2021-07,Product,Europe,2.06,3.23
